[2026-06-06 00:00:04.915] [INFO ] [METRICS] TickAvg: 3.142µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:03:49.914] [INFO ] [METRICS] TickAvg: 3.102µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:03:54.915] [INFO ] [METRICS] TickAvg: 3.099µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:03:59.914] [INFO ] [METRICS] TickAvg: 3.097µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:04:04.914] [INFO ] [METRICS] TickAvg: 3.098µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:04:09.914] [INFO ] [METRICS] TickAvg: 3.096µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:04:14.915] [INFO ] [METRICS] TickAvg: 3.093µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:04:19.914] [INFO ] [METRICS] TickAvg: 3.097µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:04:24.915] [INFO ] [METRICS] TickAvg: 3.098µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:04:29.914] [INFO ] [METRICS] TickAvg: 3.096µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:04:34.914] [INFO ] [METRICS] TickAvg: 3.099µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:04:39.914] [INFO ] [METRICS] TickAvg: 3.111µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:04:44.914] [INFO ] [METRICS] TickAvg: 3.109µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:04:49.915] [INFO ] [METRICS] TickAvg: 3.106µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:04:54.914] [INFO ] [METRICS] TickAvg: 3.112µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:04:59.914] [INFO ] [METRICS] TickAvg: 3.109µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:05:04.915] [INFO ] [METRICS] TickAvg: 3.107µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:05:09.920] [INFO ] [METRICS] TickAvg: 3.109µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:05:14.914] [INFO ] [METRICS] TickAvg: 3.109µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:05:19.914] [INFO ] [METRICS] TickAvg: 3.106µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:05:24.914] [INFO ] [METRICS] TickAvg: 3.104µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:05:29.914] [INFO ] [METRICS] TickAvg: 3.106µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:05:34.914] [INFO ] [METRICS] TickAvg: 3.103µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:05:39.914] [INFO ] [METRICS] TickAvg: 3.101µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:05:44.917] [INFO ] [METRICS] TickAvg: 3.098µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:05:49.914] [INFO ] [METRICS] TickAvg: 3.096µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:05:54.914] [INFO ] [METRICS] TickAvg: 3.093µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:05:59.915] [INFO ] [METRICS] TickAvg: 3.134µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:06:04.914] [INFO ] [METRICS] TickAvg: 3.132µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:06:09.916] [INFO ] [METRICS] TickAvg: 3.129µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:06:14.914] [INFO ] [METRICS] TickAvg: 3.13µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:06:19.915] [INFO ] [METRICS] TickAvg: 3.146µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:06:24.922] [INFO ] [METRICS] TickAvg: 3.143µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:06:29.914] [INFO ] [METRICS] TickAvg: 3.141µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:06:34.915] [INFO ] [METRICS] TickAvg: 3.147µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:06:39.914] [INFO ] [METRICS] TickAvg: 3.144µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:06:44.920] [INFO ] [METRICS] TickAvg: 3.142µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:06:49.915] [INFO ] [METRICS] TickAvg: 3.144µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:06:54.914] [INFO ] [METRICS] TickAvg: 3.206µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:06:59.914] [INFO ] [METRICS] TickAvg: 3.203µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:07:04.914] [INFO ] [METRICS] TickAvg: 3.201µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:07:09.914] [INFO ] [METRICS] TickAvg: 3.198µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:07:14.916] [INFO ] [METRICS] TickAvg: 3.196µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:07:14.924] [ERROR] [SNAPSHOT] Failed to write snapshot: encode snapshot: gob: type threat.ThreatTable has no exported fields
[2026-06-06 00:07:19.914] [INFO ] [METRICS] TickAvg: 3.193µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:07:24.914] [INFO ] [METRICS] TickAvg: 3.191µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:07:29.914] [INFO ] [METRICS] TickAvg: 3.188µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:07:34.914] [INFO ] [METRICS] TickAvg: 3.186µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:07:39.914] [INFO ] [METRICS] TickAvg: 3.183µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:07:44.914] [INFO ] [METRICS] TickAvg: 3.183µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:07:49.919] [INFO ] [METRICS] TickAvg: 3.185µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:07:54.915] [INFO ] [METRICS] TickAvg: 3.182µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:07:59.914] [INFO ] [METRICS] TickAvg: 3.179µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:08:04.914] [INFO ] [METRICS] TickAvg: 3.177µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:08:09.916] [INFO ] [METRICS] TickAvg: 3.176µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:08:14.914] [INFO ] [METRICS] TickAvg: 3.186µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:08:19.914] [INFO ] [METRICS] TickAvg: 3.183µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:08:24.914] [INFO ] [METRICS] TickAvg: 3.181µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:08:29.914] [INFO ] [METRICS] TickAvg: 3.178µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:08:34.914] [INFO ] [METRICS] TickAvg: 3.208µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:08:39.914] [INFO ] [METRICS] TickAvg: 3.205µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:08:44.914] [INFO ] [METRICS] TickAvg: 3.203µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:08:49.915] [INFO ] [METRICS] TickAvg: 3.204µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:08:54.914] [INFO ] [METRICS] TickAvg: 3.202µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:08:59.914] [INFO ] [METRICS] TickAvg: 3.199µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:09:04.915] [INFO ] [METRICS] TickAvg: 3.199µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:09:09.914] [INFO ] [METRICS] TickAvg: 3.197µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:09:14.914] [INFO ] [METRICS] TickAvg: 3.194µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:09:19.914] [INFO ] [METRICS] TickAvg: 3.192µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:09:24.915] [INFO ] [METRICS] TickAvg: 3.189µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:09:29.914] [INFO ] [METRICS] TickAvg: 3.19µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:09:34.914] [INFO ] [METRICS] TickAvg: 3.19µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:09:39.914] [INFO ] [METRICS] TickAvg: 3.187µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:09:44.914] [INFO ] [METRICS] TickAvg: 3.185µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:09:49.914] [INFO ] [METRICS] TickAvg: 3.182µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:09:54.914] [INFO ] [METRICS] TickAvg: 3.18µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:09:59.915] [INFO ] [METRICS] TickAvg: 3.184µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:10:04.914] [INFO ] [METRICS] TickAvg: 3.182µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:10:09.915] [INFO ] [METRICS] TickAvg: 3.179µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:10:14.915] [INFO ] [METRICS] TickAvg: 3.177µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:10:19.914] [INFO ] [METRICS] TickAvg: 3.174µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:10:24.915] [INFO ] [METRICS] TickAvg: 3.172µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:10:29.914] [INFO ] [METRICS] TickAvg: 3.169µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:10:34.916] [INFO ] [METRICS] TickAvg: 3.167µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:10:39.914] [INFO ] [METRICS] TickAvg: 3.165µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:10:44.914] [INFO ] [METRICS] TickAvg: 3.165µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:10:49.914] [INFO ] [METRICS] TickAvg: 3.163µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:10:54.914] [INFO ] [METRICS] TickAvg: 3.161µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:10:59.914] [INFO ] [METRICS] TickAvg: 3.158µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:11:04.916] [INFO ] [METRICS] TickAvg: 3.156µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:11:09.914] [INFO ] [METRICS] TickAvg: 3.158µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:11:14.914] [INFO ] [METRICS] TickAvg: 3.156µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:11:19.914] [INFO ] [METRICS] TickAvg: 3.153µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:11:24.914] [INFO ] [METRICS] TickAvg: 3.153µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:11:29.915] [INFO ] [METRICS] TickAvg: 3.151µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:11:34.926] [INFO ] [METRICS] TickAvg: 3.148µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:11:39.914] [INFO ] [METRICS] TickAvg: 3.166µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:11:44.914] [INFO ] [METRICS] TickAvg: 3.163µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:11:49.927] [INFO ] [METRICS] TickAvg: 3.161µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:11:54.914] [INFO ] [METRICS] TickAvg: 3.159µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:11:59.915] [INFO ] [METRICS] TickAvg: 3.156µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:12:04.915] [INFO ] [METRICS] TickAvg: 3.154µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:12:09.914] [INFO ] [METRICS] TickAvg: 3.157µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:12:14.914] [INFO ] [METRICS] TickAvg: 3.154µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:12:14.916] [ERROR] [SNAPSHOT] Failed to write snapshot: encode snapshot: gob: type threat.ThreatTable has no exported fields
